,Unnamed: 0,power,base,Should Run,QPDS
0,0,2,2,False,0.0
0,0,2,3,True,89.46933520898413
0,0,2,4,False,0.0
0,0,2,5,True,98.12984815762132
0,0,2,6,True,94.03966626446828
0,0,2,7,True,96.59215724943547
0,0,2,8,True,84.03271899192654
0,0,2,9,False,0.0
0,0,2,10,False,0.0
0,0,2,11,False,0.0
0,0,2,12,False,0.0
0,0,2,13,True,89.61569612526034
0,0,2,14,True,83.32400512139242
0,0,2,15,True,79.53178706121255
0,0,2,16,False,0.0
0,0,2,17,True,92.6642107936363
0,0,2,18,True,92.12367405413524
0,0,2,19,True,98.65479620619702
0,0,2,20,True,98.88089567774246
0,0,2,21,True,99.96541018922602
0,0,2,22,True,97.22988234751448
0,0,2,23,True,93.06289114203835
0,0,2,24,True,98.43735425573009
0,0,2,25,False,0.0
0,0,3,2,False,0.0
0,0,3,3,False,0.0
0,0,3,4,True,97.34325787759542
0,0,3,5,True,99.7848626172519
0,0,3,6,True,86.17026131169357
0,0,3,7,True,85.67347522508432
0,0,3,8,False,0.0
0,0,3,9,True,93.96528779891588
0,0,3,10,True,98.17657477435964
0,0,3,11,True,96.38051416756308
0,0,3,12,True,94.73021380247498
0,0,3,13,True,95.76925027024872
0,0,3,14,True,93.92786165416196
0,0,3,15,True,93.8123777851664
0,0,3,16,True,91.71002562138077
0,0,3,17,True,93.80014708530376
0,0,3,18,True,94.67553744790452
0,0,3,19,True,97.47203821135956
0,0,3,20,True,95.5210406083964
0,0,3,21,True,86.082176039095
0,0,3,22,False,0.0
0,0,3,23,False,0.0
0,0,3,24,False,0.0
0,0,3,25,True,81.09581143375718
