,Unnamed: 0,power,base,Should Run,QPDS
0,0,2,2,False,0.0
0,0,2,3,True,97.57959240197626
0,0,2,4,False,0.0
0,0,2,5,True,94.38069486063354
0,0,2,6,True,97.56807949833043
0,0,2,7,True,95.52618674233612
0,0,2,8,False,0.0
0,0,2,9,False,0.0
0,0,2,10,False,0.0
0,0,2,11,False,0.0
0,0,2,12,False,0.0
0,0,2,13,True,85.89819741698925
0,0,2,14,True,82.67534859846724
0,0,2,15,True,83.02962050485284
0,0,2,16,False,0.0
0,0,2,17,True,96.86145487256906
0,0,2,18,True,91.16492891129494
0,0,2,19,True,96.600827716656
0,0,2,20,True,95.71988175905744
0,0,2,21,True,98.6359695513357
0,0,2,22,True,99.6265438479656
0,0,2,23,False,0.0
0,0,2,24,True,92.58541496106018
0,0,2,25,False,0.0
0,0,3,2,False,0.0
0,0,3,3,False,0.0
0,0,3,4,True,98.80977025778716
0,0,3,5,True,94.32688593015394
0,0,3,6,True,88.07823989365214
0,0,3,7,True,91.557633853632
0,0,3,8,False,0.0
0,0,3,9,True,92.93897514817613
0,0,3,10,True,97.33643514377096
0,0,3,11,True,89.49662201838316
0,0,3,12,True,91.9835371842953
0,0,3,13,True,95.3339529991294
0,0,3,14,True,93.1264622912913
0,0,3,15,True,99.91020898341742
0,0,3,16,True,91.3863538140236
0,0,3,17,True,98.68214217020515
0,0,3,18,True,93.30948650660616
0,0,3,19,True,96.26792365958136
0,0,3,20,True,92.60054482402826
0,0,3,21,True,89.32140385037036
0,0,3,22,False,0.0
0,0,3,23,False,0.0
0,0,3,24,False,0.0
0,0,3,25,True,80.14528938297103
