,Unnamed: 0,power,base,SD,Should Run,QPDS
0,0,2,2,0.5656854249492381,False,0.0
0,0,2,3,0.5656854249492381,False,0.0
0,0,2,4,0.5656854249492381,False,0.0
0,0,2,5,0.5656854249492381,False,0.0
0,0,2,6,0.5656854249492381,False,0.0
0,0,2,7,0.5656854249492381,True,96.7300233381578
0,0,2,8,0.5656854249492381,True,98.95384469403488
0,0,2,9,0.5656854249492381,False,0.0
0,0,2,10,0.5656854249492381,False,0.0
0,0,2,11,0.5656854249492381,False,0.0
0,0,2,12,0.5656854249492381,False,0.0
0,0,2,13,0.5656854249492381,False,0.0
0,0,2,14,0.5656854249492381,False,0.0
0,0,2,15,0.5656854249492381,True,90.92872756758334
0,0,2,16,0.5656854249492381,False,0.0
0,0,2,17,0.5656854249492381,False,0.0
0,0,2,18,0.5656854249492381,True,99.32890332848883
0,0,2,19,0.5656854249492381,False,0.0
0,0,2,20,0.5656854249492381,False,0.0
0,0,2,21,0.5656854249492381,False,0.0
0,0,2,22,0.5656854249492381,True,95.71513753756864
0,0,2,23,0.5656854249492381,False,0.0
0,0,2,24,0.5656854249492381,False,0.0
0,0,2,25,0.5656854249492381,False,0.0
0,0,2,26,0.5656854249492381,False,0.0
0,0,2,27,0.5656854249492381,False,0.0
0,0,2,28,0.5656854249492381,False,0.0
0,0,2,29,0.5656854249492381,False,0.0
0,0,2,30,0.5656854249492381,False,0.0
0,0,2,31,0.5656854249492381,False,0.0
0,0,2,32,0.5656854249492381,False,0.0
0,0,2,33,0.5656854249492381,False,0.0
0,0,2,34,0.5656854249492381,False,0.0
0,0,2,35,0.5656854249492381,False,0.0
0,0,2,36,0.5656854249492381,False,0.0
0,0,2,37,0.5656854249492381,False,0.0
0,0,2,38,0.5656854249492381,False,0.0
0,0,2,39,0.5656854249492381,False,0.0
0,0,2,40,0.5656854249492381,False,0.0
0,0,2,41,0.5656854249492381,False,0.0
0,0,2,42,0.5656854249492381,False,0.0
0,0,2,43,0.5656854249492381,False,0.0
0,0,2,44,0.5656854249492381,False,0.0
0,0,2,45,0.5656854249492381,False,0.0
0,0,2,46,0.5656854249492381,False,0.0
0,0,2,47,0.5656854249492381,False,0.0
0,0,2,48,0.5656854249492381,False,0.0
0,0,2,49,0.5656854249492381,False,0.0
0,0,2,50,0.5656854249492381,False,0.0
0,0,3,2,0.5656854249492381,False,0.0
0,0,3,3,0.5656854249492381,False,0.0
0,0,3,4,0.5656854249492381,False,0.0
0,0,3,5,0.5656854249492381,False,0.0
0,0,3,6,0.5656854249492381,False,0.0
0,0,3,7,0.5656854249492381,False,0.0
0,0,3,8,0.5656854249492381,False,0.0
0,0,3,9,0.5656854249492381,False,0.0
0,0,3,10,0.5656854249492381,False,0.0
0,0,3,11,0.5656854249492381,False,0.0
0,0,3,12,0.5656854249492381,True,98.80543614215998
0,0,3,13,0.5656854249492381,False,0.0
0,0,3,14,0.5656854249492381,False,0.0
0,0,3,15,0.5656854249492381,False,0.0
0,0,3,16,0.5656854249492381,False,0.0
0,0,3,17,0.5656854249492381,True,98.28246358208273
0,0,3,18,0.5656854249492381,False,0.0
0,0,3,19,0.5656854249492381,False,0.0
0,0,3,20,0.5656854249492381,False,0.0
0,0,3,21,0.5656854249492381,False,0.0
0,0,3,22,0.5656854249492381,False,0.0
0,0,3,23,0.5656854249492381,False,0.0
0,0,3,24,0.5656854249492381,False,0.0
0,0,3,25,0.5656854249492381,False,0.0
0,0,3,26,0.5656854249492381,False,0.0
0,0,3,27,0.5656854249492381,False,0.0
0,0,3,28,0.5656854249492381,False,0.0
0,0,3,29,0.5656854249492381,False,0.0
0,0,3,30,0.5656854249492381,True,91.93527620735036
0,0,3,31,0.5656854249492381,False,0.0
0,0,3,32,0.5656854249492381,False,0.0
0,0,3,33,0.5656854249492381,True,85.94294645693252
0,0,3,34,0.5656854249492381,False,0.0
0,0,3,35,0.5656854249492381,False,0.0
0,0,3,36,0.5656854249492381,False,0.0
0,0,3,37,0.5656854249492381,False,0.0
0,0,3,38,0.5656854249492381,False,0.0
0,0,3,39,0.5656854249492381,False,0.0
0,0,3,40,0.5656854249492381,False,0.0
0,0,3,41,0.5656854249492381,False,0.0
0,0,3,42,0.5656854249492381,False,0.0
0,0,3,43,0.5656854249492381,False,0.0
0,0,3,44,0.5656854249492381,False,0.0
0,0,3,45,0.5656854249492381,False,0.0
0,0,3,46,0.5656854249492381,False,0.0
0,0,3,47,0.5656854249492381,False,0.0
0,0,3,48,0.5656854249492381,False,0.0
0,0,3,49,0.5656854249492381,False,0.0
0,0,3,50,0.5656854249492381,False,0.0
