,Unnamed: 0,power,base,SD,Should Run,QPDS
0,0,2,2,0.3535533905932738,False,0.0
0,0,2,3,0.3535533905932738,False,0.0
0,0,2,4,0.3535533905932738,False,0.0
0,0,2,5,0.3535533905932738,True,92.41744791911673
0,0,2,6,0.3535533905932738,True,98.0261313267252
0,0,2,7,0.3535533905932738,True,92.79292275388217
0,0,2,8,0.3535533905932738,False,0.0
0,0,2,9,0.3535533905932738,False,0.0
0,0,2,10,0.3535533905932738,False,0.0
0,0,2,11,0.3535533905932738,False,0.0
0,0,2,12,0.3535533905932738,False,0.0
0,0,2,13,0.3535533905932738,True,88.2786120842672
0,0,2,14,0.3535533905932738,False,0.0
0,0,2,15,0.3535533905932738,True,93.42240536048394
0,0,2,16,0.3535533905932738,False,0.0
0,0,2,17,0.3535533905932738,True,85.51539487938264
0,0,2,18,0.3535533905932738,True,91.22606596097717
0,0,2,19,0.3535533905932738,True,99.8890892859158
0,0,2,20,0.3535533905932738,True,91.36061168457552
0,0,2,21,0.3535533905932738,True,90.5516316025655
0,0,2,22,0.3535533905932738,True,96.00047154782992
0,0,2,23,0.3535533905932738,False,0.0
0,0,2,24,0.3535533905932738,True,99.51586585258492
0,0,2,25,0.3535533905932738,False,0.0
0,0,2,26,0.3535533905932738,False,0.0
0,0,2,27,0.3535533905932738,False,0.0
0,0,2,28,0.3535533905932738,False,0.0
0,0,2,29,0.3535533905932738,False,0.0
0,0,2,30,0.3535533905932738,False,0.0
0,0,2,31,0.3535533905932738,False,0.0
0,0,2,32,0.3535533905932738,False,0.0
0,0,2,33,0.3535533905932738,False,0.0
0,0,2,34,0.3535533905932738,False,0.0
0,0,2,35,0.3535533905932738,False,0.0
0,0,2,36,0.3535533905932738,False,0.0
0,0,2,37,0.3535533905932738,False,0.0
0,0,2,38,0.3535533905932738,False,0.0
0,0,2,39,0.3535533905932738,False,0.0
0,0,2,40,0.3535533905932738,False,0.0
0,0,2,41,0.3535533905932738,False,0.0
0,0,2,42,0.3535533905932738,False,0.0
0,0,2,43,0.3535533905932738,False,0.0
0,0,2,44,0.3535533905932738,False,0.0
0,0,2,45,0.3535533905932738,False,0.0
0,0,2,46,0.3535533905932738,False,0.0
0,0,2,47,0.3535533905932738,False,0.0
0,0,2,48,0.3535533905932738,False,0.0
0,0,2,49,0.3535533905932738,False,0.0
0,0,2,50,0.3535533905932738,False,0.0
0,0,3,2,0.3535533905932738,False,0.0
0,0,3,3,0.3535533905932738,False,0.0
0,0,3,4,0.3535533905932738,False,0.0
0,0,3,5,0.3535533905932738,False,0.0
0,0,3,6,0.3535533905932738,False,0.0
0,0,3,7,0.3535533905932738,True,97.795536974282
0,0,3,8,0.3535533905932738,False,0.0
0,0,3,9,0.3535533905932738,True,90.67871949678997
0,0,3,10,0.3535533905932738,True,94.60351010426702
0,0,3,11,0.3535533905932738,True,92.56489256105635
0,0,3,12,0.3535533905932738,True,97.11050070724067
0,0,3,13,0.3535533905932738,True,99.50013686613964
0,0,3,14,0.3535533905932738,True,93.5146915118222
0,0,3,15,0.3535533905932738,True,97.8394506923424
0,0,3,16,0.3535533905932738,False,0.0
0,0,3,17,0.3535533905932738,True,97.82168669399177
0,0,3,18,0.3535533905932738,True,98.3810008747894
0,0,3,19,0.3535533905932738,True,97.8219529801466
0,0,3,20,0.3535533905932738,True,98.2564252276578
0,0,3,21,0.3535533905932738,False,0.0
0,0,3,22,0.3535533905932738,False,0.0
0,0,3,23,0.3535533905932738,False,0.0
0,0,3,24,0.3535533905932738,False,0.0
0,0,3,25,0.3535533905932738,False,0.0
0,0,3,26,0.3535533905932738,False,0.0
0,0,3,27,0.3535533905932738,False,0.0
0,0,3,28,0.3535533905932738,False,0.0
0,0,3,29,0.3535533905932738,True,88.58875105796304
0,0,3,30,0.3535533905932738,True,82.9595012133699
0,0,3,31,0.3535533905932738,False,0.0
0,0,3,32,0.3535533905932738,False,0.0
0,0,3,33,0.3535533905932738,False,0.0
0,0,3,34,0.3535533905932738,False,0.0
0,0,3,35,0.3535533905932738,False,0.0
0,0,3,36,0.3535533905932738,False,0.0
0,0,3,37,0.3535533905932738,False,0.0
0,0,3,38,0.3535533905932738,False,0.0
0,0,3,39,0.3535533905932738,False,0.0
0,0,3,40,0.3535533905932738,False,0.0
0,0,3,41,0.3535533905932738,False,0.0
0,0,3,42,0.3535533905932738,False,0.0
0,0,3,43,0.3535533905932738,False,0.0
0,0,3,44,0.3535533905932738,False,0.0
0,0,3,45,0.3535533905932738,False,0.0
0,0,3,46,0.3535533905932738,True,82.59270376328149
0,0,3,47,0.3535533905932738,True,93.237946735161
0,0,3,48,0.3535533905932738,True,89.06568233685822
0,0,3,49,0.3535533905932738,True,93.97009740172986
0,0,3,50,0.3535533905932738,True,86.76436276436759
