,Unnamed: 0,power,base,SD,Should Run,QPDS
0,0,2,2,0.4242640687119285,False,0.0
0,0,2,3,0.4242640687119285,False,0.0
0,0,2,4,0.4242640687119285,False,0.0
0,0,2,5,0.4242640687119285,True,88.8527085389325
0,0,2,6,0.4242640687119285,True,91.2076246488315
0,0,2,7,0.4242640687119285,True,92.03913459701918
0,0,2,8,0.4242640687119285,False,0.0
0,0,2,9,0.4242640687119285,False,0.0
0,0,2,10,0.4242640687119285,False,0.0
0,0,2,11,0.4242640687119285,False,0.0
0,0,2,12,0.4242640687119285,False,0.0
0,0,2,13,0.4242640687119285,True,87.00327756626297
0,0,2,14,0.4242640687119285,False,0.0
0,0,2,15,0.4242640687119285,False,0.0
0,0,2,16,0.4242640687119285,False,0.0
0,0,2,17,0.4242640687119285,True,82.2541424926645
0,0,2,18,0.4242640687119285,True,95.67481039149575
0,0,2,19,0.4242640687119285,False,0.0
0,0,2,20,0.4242640687119285,False,0.0
0,0,2,21,0.4242640687119285,True,95.90392304091888
0,0,2,22,0.4242640687119285,False,0.0
0,0,2,23,0.4242640687119285,False,0.0
0,0,2,24,0.4242640687119285,True,99.8259839874302
0,0,2,25,0.4242640687119285,False,0.0
0,0,3,2,0.4242640687119285,False,0.0
0,0,3,3,0.4242640687119285,False,0.0
0,0,3,4,0.4242640687119285,False,0.0
0,0,3,5,0.4242640687119285,False,0.0
0,0,3,6,0.4242640687119285,False,0.0
0,0,3,7,0.4242640687119285,False,0.0
0,0,3,8,0.4242640687119285,False,0.0
0,0,3,9,0.4242640687119285,False,0.0
0,0,3,10,0.4242640687119285,True,94.83872823004698
0,0,3,11,0.4242640687119285,True,85.87232480281313
0,0,3,12,0.4242640687119285,True,90.88046781083564
0,0,3,13,0.4242640687119285,True,96.8808216819168
0,0,3,14,0.4242640687119285,False,0.0
0,0,3,15,0.4242640687119285,True,85.75257026846941
0,0,3,16,0.4242640687119285,False,0.0
0,0,3,17,0.4242640687119285,True,95.57979951114794
0,0,3,18,0.4242640687119285,False,0.0
0,0,3,19,0.4242640687119285,False,0.0
0,0,3,20,0.4242640687119285,True,97.3996167243293
0,0,3,21,0.4242640687119285,False,0.0
0,0,3,22,0.4242640687119285,False,0.0
0,0,3,23,0.4242640687119285,False,0.0
0,0,3,24,0.4242640687119285,False,0.0
0,0,3,25,0.4242640687119285,False,0.0
