,Unnamed: 0,power,base,Should Run,QPDS
0,0,2,2,False,0.0
0,0,2,3,True,91.42650391950896
0,0,2,4,False,0.0
0,0,2,5,True,94.65098043189928
0,0,2,6,True,95.8506015263425
0,0,2,7,True,93.77191805230233
0,0,2,8,True,88.33186074576824
0,0,2,9,False,0.0
0,0,2,10,False,0.0
0,0,2,11,False,0.0
0,0,2,12,False,0.0
0,0,2,13,True,85.87087956603945
0,0,2,14,True,83.58252606819325
0,0,2,15,True,83.99875522981435
0,0,2,16,False,0.0
0,0,2,17,True,90.53673348904822
0,0,2,18,True,90.45900257385682
0,0,2,19,True,96.58083208559154
0,0,2,20,True,95.97937468888074
0,0,2,21,True,97.54218655559798
0,0,2,22,True,96.64371253721995
0,0,2,23,False,0.0
0,0,2,24,True,97.54286191932378
0,0,2,25,False,0.0
0,0,2,26,True,93.8183970203032
0,0,2,27,False,0.0
0,0,2,28,False,0.0
0,0,2,29,False,0.0
0,0,2,30,False,0.0
0,0,2,31,False,0.0
0,0,2,32,False,0.0
0,0,2,33,False,0.0
0,0,2,34,False,0.0
0,0,2,35,False,0.0
0,0,2,36,False,0.0
0,0,2,37,False,0.0
0,0,2,38,False,0.0
0,0,2,39,False,0.0
0,0,2,40,False,0.0
0,0,2,41,False,0.0
0,0,2,42,False,0.0
0,0,2,43,False,0.0
0,0,2,44,False,0.0
0,0,2,45,False,0.0
0,0,2,46,False,0.0
0,0,2,47,False,0.0
0,0,2,48,False,0.0
0,0,2,49,False,0.0
0,0,2,50,False,0.0
0,0,3,2,False,0.0
0,0,3,3,False,0.0
0,0,3,4,True,96.7149339388969
0,0,3,5,True,91.46002705308742
0,0,3,6,True,90.3754990602947
0,0,3,7,True,92.10575015977982
0,0,3,8,False,0.0
0,0,3,9,True,95.35168071899405
0,0,3,10,True,99.97833564341929
0,0,3,11,True,96.20613377194168
0,0,3,12,True,96.69885103841794
0,0,3,13,True,95.29731606705325
0,0,3,14,True,94.22194444264352
0,0,3,15,True,96.37012285282312
0,0,3,16,True,92.38772777318806
0,0,3,17,True,91.73892911794977
0,0,3,18,True,95.50213698129257
0,0,3,19,True,95.13142355191214
0,0,3,20,True,93.33014999760545
0,0,3,21,True,83.00972972315354
0,0,3,22,False,0.0
0,0,3,23,False,0.0
0,0,3,24,False,0.0
0,0,3,25,True,81.5098562402024
0,0,3,26,False,0.0
0,0,3,27,False,0.0
0,0,3,28,False,0.0
0,0,3,29,True,87.75783049675611
0,0,3,30,False,0.0
0,0,3,31,False,0.0
0,0,3,32,False,0.0
0,0,3,33,False,0.0
0,0,3,34,False,0.0
0,0,3,35,False,0.0
0,0,3,36,False,0.0
0,0,3,37,False,0.0
0,0,3,38,False,0.0
0,0,3,39,False,0.0
0,0,3,40,False,0.0
0,0,3,41,False,0.0
0,0,3,42,False,0.0
0,0,3,43,True,85.05833269722586
0,0,3,44,True,80.17050673948735
0,0,3,45,True,80.55295271701087
0,0,3,46,True,80.96409732285775
0,0,3,47,True,86.86555466369401
0,0,3,48,True,89.3827019916875
0,0,3,49,True,94.38034378094898
0,0,3,50,True,87.9268976370726
